PERMNO,date,SICCD,TICKER,COMNAM,NAICS,PRC,VOL,RET,SHROUT,vwretd,ewretd,sprtrn
84788,20190430,7370,AMZN,AMAZON COM INC,454113,1926.52002,813030,0.081859,492332,0.037893,0.020355,0.039313
84788,20190531,7370,AMZN,AMAZON COM INC,454113,1775.06995,982070,-0.078613,492332,-0.061679,-0.064571,-0.065778
84788,20190628,7370,AMZN,AMAZON COM INC,454113,1893.63000,747629,0.066792,494000,0.067279,0.049002,0.068930
84788,20190731,7370,AMZN,AMAZON COM INC,454113,1866.78003,731945,-0.014179,494656,0.011854,-0.005245,0.013128
84788,20190830,7370,AMZN,AMAZON COM INC,454113,1776.29004,799855,-0.048474,494656,-0.020339,-0.040001,-0.018092
84788,20190930,7370,AMZN,AMAZON COM INC,454113,1735.91003,619954,-0.022733,495000,0.016033,0.017681,0.017181
84788,20191031,7370,AMZN,AMAZON COM INC,454113,1776.66003,721622,0.023475,495797,0.019256,0.006291,0.020432
84788,20191129,7370,AMZN,AMAZON COM INC,454113,1800.80005,520498,0.013587,495797,0.034997,0.026601,0.034047
84788,20191231,7370,AMZN,AMAZON COM INC,454113,1847.83997,687587,0.026122,498000,0.028491,0.044379,0.028590
84788,20200131,7370,AMZN,AMAZON COM INC,454113,2008.71997,846043,0.087064,497810,-0.001728,-0.013334,-0.001628
84788,20200228,7370,AMZN,AMAZON COM INC,454113,1883.75000,923279,-0.062214,497856,-0.077918,-0.069814,-0.084110
84788,20200331,7370,AMZN,AMAZON COM INC,454110,1949.71997,1633697,0.035021,499000,-0.141733,-0.207501,-0.125119
84788,20200430,7370,AMZN,AMAZON COM INC,454110,2474.00000,1243186,0.268900,498776,0.129674,0.153868,0.126844
84788,20200529,7370,AMZN,AMAZON COM INC,454110,2442.37012,823707,-0.012785,498776,0.053739,0.064070,0.045282
84788,20200630,7370,AMZN,AMAZON COM INC,454110,2758.82007,878785,0.129567,501000,0.025299,0.057391,0.018388
84788,20200731,7370,AMZN,AMAZON COM INC,454110,3164.67993,1270621,0.147114,500890,0.055529,0.040737,0.055101
84788,20200831,7370,AMZN,AMAZON COM INC,454110,3450.95996,838575,0.090461,500890,0.068442,0.038884,0.070065
84788,20200930,7370,AMZN,AMAZON COM INC,454110,3148.72998,1155863,-0.087579,502000,-0.035056,-0.027356,-0.039228
84788,20201030,7370,AMZN,AMAZON COM INC,454110,3036.14990,1160304,-0.035754,501751,-0.020178,0.000584,-0.027666
